user_id,variant,date,hour
QDWVL2904K,Treatment,2018-04-13,3
VSDOJ2848V,Control,2018-04-13,16
QNERG7202Z,Control,2018-04-13,12
NUHKL4792P,Control,2018-04-13,2
MLADW4478L,Control,2018-04-13,4
GGEKN1544U,Treatment,2018-04-13,13
UTVWH8448V,Control,2018-04-13,11
SYLEG4723P,Treatment,2018-04-13,13
BSGFQ7493P,Treatment,2018-04-13,15
KZBKJ7518F,Control,2018-04-13,15
YNIMM3990P,Treatment,2018-04-13,17
OHMPR8478I,Control,2018-04-13,12
ABZNH7199K,Treatment,2018-04-13,8
ZRKZX5700U,Control,2018-04-13,6
AAOSM9859Y,Control,2018-04-13,22
VFDUB1769O,Control,2018-04-13,13
CYWNS0664D,Control,2018-04-13,4
RVHND6124V,Treatment,2018-04-13,9
BJPOD3095D,Treatment,2018-04-13,7
AAPAR3899M,Treatment,2018-04-13,15
DUAXI5457Y,Control,2018-04-13,21
HJECX5084P,Treatment,2018-04-13,17
GDRQU5250O,Treatment,2018-04-13,9
LJTUV3501N,Control,2018-04-13,12
LLWGT2268D,Control,2018-04-13,12
XHBUL0065I,Treatment,2018-04-13,12
KXQYT2233G,Treatment,2018-04-13,2
IPEMA7170V,Control,2018-04-13,3
XQNNN2082Y,Treatment,2018-04-13,18
DRTDA3166J,Treatment,2018-04-13,3
WUYFO0065X,Control,2018-04-13,21
NFEUI3551D,Control,2018-04-13,15
CNMLK5436Y,Treatment,2018-04-13,17
AYIFD4984E,Treatment,2018-04-13,13
FBOOO1717M,Treatment,2018-04-13,7
PJAEN2580W,Treatment,2018-04-13,10
TPIRY4873P,Treatment,2018-04-13,9
BVYSJ8180L,Control,2018-04-13,4
HTDRU3968C,Treatment,2018-04-13,3
QKKBD0659R,Treatment,2018-04-13,2
LTLRO0617C,Control,2018-04-13,15
KXDFO9748Q,Control,2018-04-13,1
QUNAM8104X,Treatment,2018-04-13,13
IONIS2211A,Control,2018-04-13,3
PPEXN5275V,Treatment,2018-04-13,3
NXHVV2684S,Control,2018-04-13,13
ZIDPT1091P,Control,2018-04-13,0
XKBVA6305C,Treatment,2018-04-13,5
HKJLE0347I,Treatment,2018-04-13,8
FPJLS0370H,Control,2018-04-13,21
MIFDR4855Q,Treatment,2018-04-13,19
ZYKBE7688A,Treatment,2018-04-13,4
JOKPF8878D,Treatment,2018-04-13,16
LODUM2532H,Control,2018-04-13,22
ASSPU6948B,Control,2018-04-13,17
GZHWV3704R,Control,2018-04-13,3
XNLON3147S,Control,2018-04-13,6
QVPVR8763C,Control,2018-04-13,16
QXFFJ2175I,Control,2018-04-13,8
BWLET4093W,Treatment,2018-04-13,10
DPBQQ6496J,Control,2018-04-13,9
DBAQQ0319G,Treatment,2018-04-13,8
ROMNW9628B,Treatment,2018-04-13,20
VDQKO0651N,Control,2018-04-13,20
SAZDB6460H,Control,2018-04-13,17
ZFXTD3409G,Control,2018-04-13,0
XHRVG9645P,Control,2018-04-13,8
CXTGY2029D,Control,2018-04-13,22
QUCUL9558U,Control,2018-04-13,9
MGVVL5726I,Control,2018-04-13,1
OIIRX4516E,Control,2018-04-13,16
JRHGH5459E,Control,2018-04-13,1
YJDUX9807U,Control,2018-04-13,0
TGFSH9185W,Treatment,2018-04-13,16
ECVUA1226I,Treatment,2018-04-13,8
QKPLL1325Q,Treatment,2018-04-13,6
TLOGH0730P,Control,2018-04-13,22
IFSZR6950H,Treatment,2018-04-13,22
GHXSX6112U,Treatment,2018-04-13,7
SNBNU8736X,Control,2018-04-13,16
WWCMK2671S,Treatment,2018-04-13,12
KUHDZ3574E,Treatment,2018-04-13,13
LJZKP5236G,Treatment,2018-04-13,7
MJYWR7920V,Treatment,2018-04-13,16
EPBQY7289W,Treatment,2018-04-13,14
PFRWG6365F,Treatment,2018-04-13,18
AIBFI4716M,Treatment,2018-04-13,8
BXVUI5051J,Treatment,2018-04-13,4
BWXMQ5742W,Control,2018-04-13,16
DVDFV1344G,Treatment,2018-04-13,16
RIYXP3717Z,Treatment,2018-04-13,4
VSYZR7941F,Treatment,2018-04-13,12
PLHSA9241S,Treatment,2018-04-13,12
DECGB7316I,Treatment,2018-04-13,17
XYMKO1583O,Treatment,2018-04-13,17
CIMSA8688W,Control,2018-04-13,4
XNOPC5049F,Treatment,2018-04-13,1
VJRXE5912G,Treatment,2018-04-13,7
CMYUT4748E,Control,2018-04-13,14
YKJWU1403Z,Treatment,2018-04-13,15
